1,2,3,4,5,6,OME 6-2016,OME Data type
,,WavelengthProfileFile,,,,,
,,,,,,,
Detector,,,,,,simple Class,Element
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LSID
,removed OME field(s),,,,,Type,
,,,,,,Gain,
,,,,,,AmplificationGain,
,,,,,,Offset,
,,,,,,Voltage,
,,,,,,Zoom,
,AnnotationRef,,,,,same,Extension of Reference
,Name,,,,,,
,Mount,,,,,,
,MaxBitDepth,,,,,,
,QuantumEfficiency,,,,,,
,ElectronConversionFactor,,,,,,
,ReadOutNoise,,,,,,
,DetectorNoiseModel,,,,,,
,DarkCurrentRate,,,,,,
,DynamicRange,,,,,,
,AmbientOperatingTemperature,,,,,,
,AmbientOperatingHumidity,,,,,,
,RelayLensRef,,,,,,
,WavelengthRange,,,,,,
,,PeakWavelength,,,,,
,,CutOn,,,,,
,,CutOff,,,,,
,,WavelengthProfileFile,,,,,
,,,,,,,
,"substitution group 
(choose one or more)",Camera,,,,,
,,,ArrayWidth,,,,
,,,ArrayHeight,,,,
,,,PixelWidth,,,,
,,,PixelHeight,,,,
,,,Illumination,,,,
,,,ManufacturerOffset,,,,
,,,Color,,,,
,,,PixelWellCapacity,,,,
,,,MaximumFrameRate,,,,
,,,MaximumReadoutRate,,,,
,,,VerticalClockSpeed,,,,
,,,"substitution group 
(choose one or more)",AnalogVideo,,,
,,,,,,,
,,,,CCD,,,
,,,,,Type,,
,,,,,CCDArchitecture,,
,,,,,RegisterWellCapacity,,
,,,,,,,
,,,,CMOS,,,
,,,,,Type,,
,,,,,,,
,,,,IntensifiedCamera,,,
,,,,,SensorType,,
,,,,,IntensifierType,,
,,,,,RegisterWellCapacity,,
,,,,,,,
,,PointDetector,,,,,
,,,Coating,,,,
,,,SignalProcessing,,,,
,,,ResponseTime,,,,
,,,DeadTime,,,,
,,,RadiantSensitivity,,,,
,,,"substitution group 
(choose one or more)",PhotoMultiplier,,,
,,,,,CollectionEfficiency,,
,,,,,Multianode,,
,,,,,MultianodeChannelNr,,
,,,,,MultianodeArrangement,,
,,,,,HeadOn,,
,,,,,,,
,,,,PhotoDiode,,,
,,,,,Avalanche,,
,,,,,PINJunction,,
,,,,,,,
,,,,HybridPhotoDetector,,,
,,,,,,,
,,GenericDetector,,,,,
,,,Map,,,,
