Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
2,,,,BeamExpander,,,,"Beam Expanders are Lens Systems whose role is to increase the diameter of a collimated input beam to a larger collimated output beam. Beam Expanders typically are afocal systems in which object rays enter and exit parallel to the optical axis. As such a Beam Expander does not have a focal length. In most cases, Beam Expanders are realized as optical telescopes consisting of two lenses. Beam Expanders can be custom built or they are also available as pre-assembled optical devices.",,,,,,,,
3,,,,,Configuration,,,This field captures the Configuration of this Beam Expander.,enum,"Galileian telescope, Keplerian telescope, Other",BeamExpanderConfiguration,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,Condenser,,,,"A Condensers is a part of the illuminating system of the microscope which consists of one or more lenses (or mirrors), their mounts, and typically a Diaphragm. They typically also include a Turret system to facilitate switching between different Optics. The are located above the Light Source and under the sample in an Upright Microscope, and above the stage and below the Light Source in an Inverted Microscope. They are designed to collect, control and concentrate light from the Light Source into a cone of light that illuminates the specimen. The aperture and angle of the light cone must be adjusted (via the size of the Diaphragm) for each different Objective.",,,,,,,,
1,Y,,,,Correction,,,"This field captures any type of Aberration (i.e., failure of an optical system to produce a perfect image) this Condenser is design to correct. ",enum,"Astigmatism, Chromatic, Chromatic and Curvature, Coma, Curvature, Distorsion, Spherical, Other",CondenserCorrection,,,,,
2,,,,,Type,,,"This field captures the general category this Condenser belongs to according to ISO 10934-1:2002. Specifically, this category refers to the type of Correction or Contrast Enhancement Method this Condenser is designed to achieve. According to ISO 10934-1:2002, options include: 1) Abbe, this is a condenser of simple design introduced by Abbe, in which there is only limited correction for spherical aberration and none for chromatic aberration. 2) Achromatic-aplanatic, this is a in which chromatic aberrations and spherical aberrations have been reduced. 3) Cardioid, this is a dark field condenser for transmitted light illumination that has spherical aberration and coma (i.e., aberration in which the image of an off-axis point object is deformed so that the image is shaped like a comet) correction. 4) Dark-field, this is a dark-ground condenser designed for dark-field microscopy, which for reflected-light microscopy might be located within the mount of the objective. 5) Pancratic, this is a condenser containing a variable “zoom” (pancratic) lens which allows the size of the illuminated field at the object to be varied while the illuminated field diaphragm remains of constant size. 6) Phase-contrast, this is condenser designed for phasecontrast microscopy. 6) Universal, this is a condenser designed for multiple contrast methods such as bright field, dark field, phase contrast, differential interference contrast, polarized light and modulation contrast.",enum,"Abbe, Achromatic-Aplanatic, Cardioid, Dark-field, Pancreatic, Phase-contrast, Universal, Other",CondenserCategory,R,,,,
e,e,,,,,,,,,,,,,,,
2,,,,MicroscopeTube,,,,"Illumination Tubes are Lens systems, which might be embedded within the Microscope Stand and therefore not immediately accessible. They are essential for infinity-correction and should be regarded as integral parts of the Objective Lens System when magnification and correction are considered.",,,,,,,,
2,,,,,Type,,,This field captures the category of this Tube.,enum,"Body, Intermediate, Viewing, Other",MicroscopeTubeType,R,,,,
3,,,,,MechanicalLength,,,"For Objectives corrected for a finite primary image distance, this is the length of the Tube in its simplest form, and it corresponds to the distance in air between the Objective and the Camera port. It commonly has a value of 160 mm (ISO 9345-1). For infinity-corrected objectives, the mechanical tube length is hypothetically considered to be infinite.",float with unit:LengthUnit ; [default mm],,,,,,,
3,,,,,OpticalLength,,,This is the distance between the back focal plane of the Objective and the primary Image plane. This distance is relevant only when using finite primary Image distance Objectives.,float with unit:LengthUnit ; [default mm],,,,,,,
3,,,,,Factor,,,Factor (q) by which the lateral Magnification at the primary image is changed by an intermediate Lens or Lens System inserted between the Objective and the primary Image.,float with unit:none,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,OpticalAperture-APE,,,,,,"This element represents any mechanical, non optical device that is placed in the Light Path and spatially modifies the light beam. Examples include, Pin Holes, Phase Rings, Dark Field Stops, Hoffman Modulators, Diffraction Gratings etc. This element can be associated with an optional Optics Turret.",Substitutions:,"DarkFieldStop, DiffractionGrating, FourierFilter, PhaseRing, Pinhole, HoffmanPlate, IrisDiaphragm, VarelRing",Manufacturer Specs,,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,FilterID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,OpticsHolderPosition,,,,,This field records the position of this Optical Aperture in a Optics Turret.,striing,,,,,,,
3,,,OuterDiameter,,,,,This field captures the physical outer diameter of the component,float with unit:DiameterUnit [default mm],,OptoMechanicalElementSize,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
2,,,"substitution group 
(choose one or more)",DarkFieldStop,,,,"This element refers to a central circular stop (i.e., opaque disk) usually used in dark-field microscopy and placed in the front focal plane of a Condenser to occlude all the direct light which would fall within the aperture of the objective.",,,,0 … ∞,,,,
3,,,,,CenterStopDiameter,,,This field captures the physical diameter of the central disk of this Dark Field Stop.,float with unit:DiameterUnit [default mm],,DarkFieldStopSize,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,PhaseRing,,,,"This element (also called Phase Annulus) refers to an annular (ring-like) slit used to produce contrast modulation following Zernike, in which the image contrast of a phase object is enhanced by altering the phase and amplitude of the direct light with respect to those of the diffracted light. This illuminating aperture Diaphragm is placed in the front focal plane of the Condenser and acts in conjunction with an appropriate phase plate, usually in the form of an annulus, placed in the back focal plane of the objective (or in a succeeding plane conjugate with this).",,,,0 … ∞,,,,
1,Y,,,,PhaseNumber,,,This field captures the Phase Number used to identify the size of the annular slit of this Phase Ring. The Phase Number must match the Phase Plate found within a Phase-contrast capable Objective lens.,enum,"PhL, Ph1, Ph2, Ph3, Ph4",PhaseRingNumber,R,,,,
3,,,,,CenterStopDiameter,,,This filed records the physical diameter of the center-stop (i.e. opaque disk) of this Phase Ring.,float with unit:DiameterUnit [default mm],,,,,,,
3,,,,,SlitWidth,,,This field records the physical width of the annular slit of this Phase Ring.,positivefloat with unit:WidthUnit,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,HoffmanPlate,,,,"This element represents a Plate that contains an off-axis slit aperture positioned in the front focal plane of the Condenser. It is used alongside a Hoffman contrast modulator (i.e., optical amplitude spatial filter) present in the back focal plane of the objective or in a succeeding conjugate plane to produce contrast modulation as described by Hoffman (i.e., Hoffman Contrast Modulation, HMC). Hoffman modulation contrast is not hampered by the use of birefringent materials (such as plastic Petri dishes) in the optical pathway, so the technique is more useful for examining specimens in containers constructed with polymeric materials.",,,,0 … ∞,,,,
3,,,,,Design,,,This field captures the design of the slit of this Hoffman Plate.,enum,"Center, Offset, Other",HoffmanPlateSlitDesign,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,IrisDiaphragm,,,,"This element represents a Diaphragm, positioned trasversally to the optical axis bounded by multiple leaves, usually metal, arranged so as to provide an opening of variable size, which is adjustable by means of a mechanical control.",,,,0 … ∞,,,,
2,,,,,MaxApertureDiameter,,,This field records the Maximum physical Diameter of the Aperture of this Iris Diaphragm.,float with unit:ApertureDiameterUnit [default mm],,,,,,,
3,,,,,Shape,,,This field captures the Shape of the aperture of this Iris Diaphragm.,enum,"Diamond, Round, Slit, Square, Other",IrisShape,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,VarelRing,,,,"This element represents a stop (i.e., opaque structure) shaped like a ring sector, which is used on the illumination side, to permit unilateral inclined illumination. It was developed to work in combination with Phase Objectives to yield contrast even when light passes through birefringent materials, such as plastic Petri dishes.",,,,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,Shutter,,,,"This element describes a Shutter available for this Instrument. Shutters are devices that open and close, and they may be mechanically or electro-mechanically controlled. Shutters are typically used to control the Light that raches the sample (i.e., to limit phototoxicity and photobleaching especially in case of live specimens),  or the Detecrtor at any one time. They can also be used for Excitation or Emission Wavelength selection.",,,,,,,,
1,Y,,,,ResponseTime,,,"This field (also known as Speed) records the time it takes for this Shutter to completely open and close, according to the Manufacturer.",float with unit:ResponseTimeUnit,,,,,,,
2,,,,,Function,,,"This field records whether this Shutter is used for the control of illumination (especially relevant for live imaging), the selection of Excitation or Emission waveLengths or the control of the Light that reaches the Detector.",enum,"Detection control, Illumination control, Wavelength selection, Other",ShutterFunction,,,,,
2,,,,,OperationFrequency,,,"This field records the Frequency of Operation of this Shutter, according to the Manufactuers.",float with unit:OperationFrequencyUnit,,,,,,,
2,,,,,Motorized,,,This field describes whether this device is Motor (True) or Manually (False) operated.,boolean,,,,,,,
2,,,,,MaxApertureDiameter,,,This field records the Maximum physical Diameter of the Aperture of this Shutter.,float with  unit:ApertureDiameterUnit,,,,,,,
2,,,,,Multimode,,,"This field records whether (True) multiple operation modes are available for this Shutter or not (False). Typical operation modes are are: Fast, Soft and Neutral Density. The Fast mode provides the quickest open and close action sequence for which the shutter is capable. The Soft mode gradually opens and closes the shutter to reduce vibration. Control of light intensity without affecting wavelength is accommodated by a Neutral Density shutter mode (for more details see https://www.microscopyu.com/applications/live-cell-imaging/the-automatic-microscope).",boolean,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,Lens-APE,,,,,,"This element describes additional lenses positioned in the Light Path for one or more Channels available for this Instrument. A Lens is a component of glass or transparent plastic material, usually circular, with two primary surfaces that are ground and polished in a specific manner designed to produce either a convergence or divergence of light passing through the material. An Instrument may have several Lenses with different functions, such as a Magnification Changer (also known as Optovar), a Coupling Lens connecting the Light Source with the Microscope Stand, a Relay Lens positioned at the Detector mount, or additional Lenses placed in the Light Path for various purposes. This element can be associated with an optional Optics Turret.",Substitution:,"MagnificationChanger, GenericLens, BeamExpanderLens, BeamCollimatorLens, CouplingLens, RelayLens, TubeLens",Manufacturer Specs,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,LensID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,Magnification,,,,,This field records the nominal Magnification provided by this Lens as specified by the Manufacturer.,float with unit:none,,,R,,,,
1,Y,,LensNA,,,,,"This field captures the Numerical Aperture (NA) of this Lens expressed as a floating-point (real) number. NA is a number that was defined initially by Abbe to characterize Objectives and Condensers. NA can be calculated by the expression n sin alpha, where n is the Refractive Index of the medium between the Lens and the Sample, and alpha is half the Angular Aperture of the Lens. NA is a measure of how much of the illumination that leaves the specimen actually passes through the Lens. The larger the NA, the more information the lens can transmit. Expected range 0.02 - 1.5.",float with unit:none,,,,,,,
2,,,Infinity,,,,,This field records whether (True) or not (False) this Lens is infinity corrected. An Infinity-corrected Lens is fixed for an infinite sample to primary image distance. It needs to be used with a Tube Lens of appropriate focal length to obtain the specified magnification.,boolean,,,,,,,
3,,,Composite,,,,,This field records whether this Lens is Composite (True) or Simple (False).,boolean,,,R,,,,
3,,,Shape,,,,,"This field records the shape of the profile (e.g., concave vs. convex) of this Lens. Please note that this attribute is often used to classify Lenses into categories.",enum,"Amici-Bertrand, Biconvex, Biconcave, Plano Convex, Plano Concave, Convex Meniscus, Concave Meniscus, Equiconvex, Other",LensShapeType,R,,,,
3,,,Geometry,,,,,This field records the geometrical shape of this Lens' surface(s).,enum,"Spherical, Aspherical, Cylindrical, Ball, Hemispheric-ball, Cone, Drum, Rod, Toric",LensGeometry,,,,,
3,,,Diameter,,,,,This field records the physical diameter of this Lens.,float with unit:DiameterUnit [default mm],,,,,,,
3,,,Coating,,,,,"An optical Coating consists of one or more thin layers of material deposited on an optical component such as a Lens or Mirror, which alters the way in which the optic reflects and transmits light. This field records the optical Coating used for this Lens.",string,,,,,,,
3,,,AttenuationCoefficient,,,,,"This field records the Attenuation Coefficient (AC) of this optical element. The AC (aka blocking coefficient) is a material property that characterizes the degree to which light is being blocked (i.e., scattered or absorbed) by it. AC is used as a measure of the out-of-band blocking of an optical Lens, Filter, Dichroic mirror over an extended range of the spectrum. AC is often reported in units of optical density (OD), whereas OD= -log10(T), and T=Transmittance (0≤T≤1).",float with unit:none,,,,,,,
2,,,WorkingDistance,,,,,"This field reports the Working Distance of this Lens under normal operating conditions. The Working Distance is the distance (in air, or in the specified immersion liquid) between the front of an Objective and the surface of the cover glass or of the specimen if uncovered.",float with unit:WorkingDistanceUnit,,,,,,,
3,,,ImageDistance,,,,,This field records the distance in air between the rear principal plane of this Lens and the primary Image plane.,float with unit:OpticalDistanceUnit; [default mm],,,,,,,
3,,,FrontFocalLength,,,,,This field records the distance (f) measured along the optical axis from the front principal plane of this Lens to the front focal plane (F).,float with unit:OpticalDistanceUnit; [default mm],,,,,,,
3,,,BackFocalLength,,,,,This field records the distance (f') measured along the optical axis from the rear principal plane of this Lens to the rear focal plane (F').,float with unit:OpticalDistanceUnit; [default mm],,,,,,,
3,,,RadiusOfCurvature,,,,,This field records the Radius of Curvature of this Lens. A spherical Lens or Mirror surface has a center of curvature located either along or decentered from the system local optical axis. The vertex of the lens surface is located on the local optical axis. The distance from the vertex to the center of curvature is the Radius of Curvature of the surface.,float with unit:RadiusUnit,,,,,,,
3,,,MaterialName,,,,,This field records the chemical composition or designation of the Material this Lens is made of.,enum,"alpha-Barium Borate, Barium Crown (BAK/N-BAK), Barium Flint (BAF/N-BAF), Barium Heavy Flint (BASF/N-BASF), Barium Light Flint (BALF/N-BALF), Borofloat, Boron Crown (BK/N-BK), Borosilicate, Calcite, Calcium Fluoride (CaF2), Crown (K/N-K), Crown Flint (KF/N-NK), Crystal Quartz, Dense Crown (SK/N-SK), Dense Flint (SF/N-SF), Extra Dense Crown (SSK/N-SSK), Extra Ligh Flint (LLF), Flint (F/N-F), Fluorine Crown (FK/N-FK), Germanium, Lanthanum Crown (LAK/N-LAK), Lanthanum Dense Flint (LASF/N-LASF), Lanthanum Flint (LAFN/N-LAF), Light Flint (LF), Magnesium Fluoride (MgF2), Phosphate Crown (PK/N-PK), Phosphate Dense (PSK/N-PSK), Polytetrafluoroethylene (PFTE), Pyrex, Rutile (TiO2), Short Flint Special (KZFS/N-KZFS), Silicon (Si), UV-Grade Fused Silica (UVFS), Yttrium Orthovanadate (YVO4), Zerodur (Lithium Aluminum Silicon Oxide), Zinc Crown (ZK/N-ZK), Zinc Selenide (ZnSe), Other",OpticalMaterialName,,,,,
3,,,GlassCode,,,,,"If available, this field records the international Glass Code of the material that constitutes this Lens. The Glass Code designation is based on U.S. military standard MIL-G-174, and it consists of a six-digit number specifying the glass according to its Refractive Index nd at the Fraunhofer d- (or D3-) line, and its Abbe Number Vd also taken at that line. The resulting Glass Code is the value of nd-1 rounded to three digits, followed by Vd rounded to three digits, with all decimal points ignored. For example, BK7 has nd = 1.5168 and Vd = 64.17, giving a six-digit Glass Code of 517642.",sring,,,,,,,
2,,,RefractiveIndex,,,,,"This field records the Refractive Index of the material this Lens is made of, as specified by the Manufacturer. The Refractive Index is the ratio of the speed of light (more precisely, the phase velocity) in a vacuum versus that in a given medium.",float with unit:none,,,,,,,
3,,,AbbeNumber,,,,,"This field records the Abbe number of this Lens. The Abbe Number is a measure of the material's dispersion (variation of Refractive Index versus Wavelength), with high values indicating low dispersion.",float with unit:none,,,,,,,
3,,,Density,,,,,This field records the Density of the material this Lens is made of.,float with unit:DensityUnit,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one or more)",MagnificationChanger,,,,"A Magnification Changer (also known as Optovar because one of the first magnification changing devices was developed by Zeiss and given this proprietary Name) provides additional magnification that can be beneficial when a desired field of view is required for the imaging sensor. Magnification Changers are placed before the Tube Lens within the infinity space of the optical system. Typical magnification increments are 1.25x, 1.6x, and 2x. ",,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,GenericLens,,,,This element refers to any additional Generic Lens positioned in the Light Path for a given Channel.,,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,BeamExpanderLens,,,,"A Beam Expander Lens is a Lens designed to work in combination with other optical components to form a Beam Expander device. As such, its role is to increase the diameter of a collimated input beam to a larger collimated output beam.",,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,BeamCollimatorLens,,,,"A Beam Collimator Lens is a Lens designed to work in combination with other optical components to form a Beam Collimator device. As such, its role is to transform a strongly diverging light beam into a collimated beam, i.e., a beam where light propagates mainly only in one direction, and the beam divergence is weak.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,CondenserLens,,,,A Condenser Lens renders a divergent beam from a point source into a parallel or converging beam to illuminate an object. It acts to gather light from the Light Source and concentrate it into a cone of light that illuminates the specimen. The aperture and angle of the light cone must be adjusted (via the size of the diaphragm) for each different objective Lens with different numerical apertures. Conserser Lenses are typically housed within a specific component of the Microscope called the Condenser.,,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,CouplingLens,,,,This element refers to a Lens positioned at the mount connecting the Light Source Coupling device and the Microscope Stand.,,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,RelayLens,,,,A Relay Lens is often used in combination with other Lenses for transferring an Image into a different optical plane. A typical example of Relay Lens is the Lens positioned at the mount connecting a Detector with the Microscope Stand.,,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,TubeLens,,,,"A Tube Lens is an intermediate Lens, located within the Microscope's Illumination Tube, which is designed to operate as an essential component of infinity-corrected Objectives, and which should be regarded as an integral part of the Objective lens system when magnification and correction are considered. In some Microscope Tubes, Lenses might be located within the Microscope Stand and might not be immediately accessible.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,PolarizationOptics,,,,,,This element describes a Polarization device positioned in the Ligth Path for this Instrument. A Polarization device is an optical filter rotatable through 360° that lets light waves of a specific polarization pass through while blocking light waves of other polarizations. This element can be associated with an optional Optics Turret.,,,,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,PolarizationOpticsID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,Function,,,,,This field records whether this Polarization Optics is used to generate (Polarizer) or to analyze (Analyzer) polarized light.,enum,"Polarizer, Analyzer, Other",PolarizationOpticsFunction,R,,,,
2,,,CrossPolarizer,,,,,This field records whether (True) or not (False) this Polarization Optics is a combination of an Analyzer and a Polarizer positioned orthogonal to each other.,boolean,,,R,,,,
2,,,DIC,,,,,This field records whether (True) or not (False) this PolarizationOptics is used for Differential Interference Contrast (DIC) microscopy.,boolean,,,R,,,,
2,,,BeamSplitter,,,,,This field records whether (True) or not (False) this is PolarizationOptics has a beam splitter function.,boolean,,,,,,,
2,,,FaradayIsolator,,,,,This field records whether (True) or not (False) this PolarizationOptics is a Fraday Isolator. A Faraday Isolator is an optical component which allows light to pass through in only ONE direction and therefore protects laser systems against back reflection. It uses the Faraday magneto-optical effect to turn the polarization of light between various polarizers.,boolean,,,,,,,
2,,,Construction,,,,,This field records the modality with which this PolarizationOptics is constructed.,enum,"Achromatic, Zero Order, Multiple Order, Other",PolarizationOpticsConstruction,,,,,
2,,,Retardation,,,,,This field records the Phase shift that exists between the polarized light component projected along the fast axis and the part projected along the slow axis.,enum,"Full Wave, Half Wave, Quarter Wave, Other",PolarizationOpticsRetardation,,,,,
3,,,Fabrication,,,,,This field records the way in with which this PolarizationOptics is fabricated.,enum,"Birefringent, Film, Polarizing Beamsplitter, Polarizing BandPass, Polymer, Quarz, Variable, Wire Grid, Other",PolarizationOpticsFabrication,,,,,
3,,,MaterialName,,,,,This field records the chemical composition or designation of the Material this Polarization Optics is made of.,enum,"alpha-Barium Borate, Barium Crown (BAK/N-BAK), Barium Flint (BAF/N-BAF), Barium Heavy Flint (BASF/N-BASF), Barium Light Flint (BALF/N-BALF), Borofloat, Boron Crown (BK/N-BK), Borosilicate, Calcite, Calcium Fluoride (CaF2), Crown (K/N-K), Crown Flint (KF/N-NK), Crystal Quartz, Dense Crown (SK/N-SK), Dense Flint (SF/N-SF), Extra Dense Crown (SSK/N-SSK), Extra Ligh Flint (LLF), Flint (F/N-F), Fluorine Crown (FK/N-FK), Germanium, Lanthanum Crown (LAK/N-LAK), Lanthanum Dense Flint (LASF/N-LASF), Lanthanum Flint (LAFN/N-LAF), Light Flint (LF), Magnesium Fluoride (MgF2), Phosphate Crown (PK/N-PK), Phosphate Dense (PSK/N-PSK), Polytetrafluoroethylene (PFTE), Pyrex, Rutile (TiO2), Short Flint Special (KZFS/N-KZFS), Silicon (Si), UV-Grade Fused Silica (UVFS), Yttrium Orthovanadate (YVO4), Zerodur (Lithium Aluminum Silicon Oxide), Zinc Crown (ZK/N-ZK), Zinc Selenide (ZnSe), Other",OpticalMaterialName,,,,,
3,,,GlassCode,,,,,"If available, this field records the international Glass Code of the material that constitutes this Lens. The Glass Code designation is based on U.S. military standard MIL-G-174, and it consists of a six-digit number specifying the glass according to its Refractive Index nd at the Fraunhofer d- (or D3-) line, and its Abbe Number Vd also taken at that line. The resulting Glass Code is the value of nd-1 rounded to three digits, followed by Vd rounded to three digits, with all decimal points ignored. For example, BK7 has nd = 1.5168 and Vd = 64.17, giving a six-digit Glass Code of 517642.",sring,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
3,,,WavelengthRange,,,,,"This element records a range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
2,,,,PeakWavelength,,,,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,,R,,,,
2,,,,CutOn,,,,"This field records the Wavelength(s) below which there is less than 50% Transmittance for this optical element. In case a CutOn Wavelength is not available, such as in the case of a ShortPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
2,,,,CutOff,,,,"This field records the Wavelength(s) above which there is less than 50% Transmittance for this optical element. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
3,,,,WavelengthProfileFile,,,,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,Prism,,,,,,"This element describes a Prism positioned in the Light Path for one or more Channels available for this Instrument. A Prism is a block of glass or other transparent material with at least two intersecting flat, polished surfaces, used to disperse light or deviate it through an angle. A Prism can be viewed as an ensemble of different rigidly mounted Mirrors, with each face having a permanent orientation with respect to others. A Prism can be employed to deflect or deviate a light beam, rotate or invert an image, separate polarization states, or disperse light into its component Wavelengths. An Instrument may have several Prisms with different functionality such as Polarizing, Reflecting, or Refracting (or Dispersing). Polarizing Prisms are birefringent crystals that divide incident non-polarized light into separate components polarized orthogonally to each other. Reflecting Prisms are useful for redirecting light beams by total internal reflection. Refracting (or Dispersing) Prisms can be employed to bend and separate light into its component colors. This element can be associated with an optional Optics Turret.",,,Manufacturer Specs,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,PrismID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,DIC,,,,,"This field records whether this Prism is used for Differential Interference Contrast (DIC) microscopy and, if so, what DIC-compatible type it is (i.e., deSenarmont, Nomarski or Wollaston).",enum,"deSenarmont, Nomarski, Wollarston, None",DICPrismType,,,,,
2,,,Function,,,,,"This field records the function of this Prism. Beam-shaping (i.e., Anamorphic) Prism pairs are used for reshaping the profile of a laser beam. For example, the elliptical beam from a laser diode can be transformed into a beam with circular cross-section, by magnifying the elliptical beam in one dimension. They can also be used to convert a circular beam into an elliptical beam. Dispersing prisms can be employed to bend and separate light into its component wavelengths. Polarizing prisms (i.e., Glan–Thompson, Nomarski, Wollaston) are birefringent crystals, which divide incident non-polarized light into separate components polarized orthogonally to each other. Reflecting prisms are useful for redirecting (i.e., flip, invert, rotate, etc.) light beams by total internal reflection or for dividing them into two or more separate beams (i.e., beam-splitting) one.",enum,"Beam-shaping, Deflecting, Polarizing, Reflecting, Refracting (or Disperising), Other ",PrismFunction,R,,,,
2,,,Condenser,,,,,This field records whether this Prism is within the Condenser (True) or the Objective (False).,boolean,,,R,,,,
2,,,OilObjective,,,,,This field records whether this Prism is designed to work with oil Objectives (True) or not (False).,boolean,,,R,,,,
2,,,Compound,,,,,"This field records whether this Prism is a Compound Prism (i.e., a set of multiple triangular prism elements placed in contact, and often cemented together to form a solid assembly; True) or a Simple Prism (False).",boolean,,,,,,,
3,,,RefractiveIndex,,,,,"This field records the Refractive Index of the material this Prism is made of, as specified by the Manufacturer.",float with unit:none,,,,,,,
3,,,Reflectance,,,,,This field records the maximum amount of light this Prism is capable of transmitting at peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.,float with unit:none,,,R,,,,
3,,,AngleOfIncidence,,,,,"This field records the Angle Of Incidence (AOI) is the angle between a beam of light incident on the Prism surface and the line perpendicular to the surface at the point of incidence, called the normal.",float with unit:IncidenceAngleUnit,,,,,,,
3,,,DeviationAngle,,,,,"This field records the Deviation Angle of this Prism. A beam passing through an object like a prism is deflected twice: once entering, and again when exiting. The sum of these two deflections is called the deviation angle and is measured with respect to the incident ray.",float with unit:DeviationUnitAngle,,,,,,,
3,,,PrismAngle,,,,,This field records the Angle between two surfaces of this Prism.,float with unit:PrismAngleUnit,,,,,,,
