Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID (LightSourceID),,,,,A Unique Identifier for this component.,LightSourceID,,,R,,same,R,LSID
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,PurchaseDate,,,,,This field records the Date in which this Light Source was purchased.,xsd:Date,,,R,,,,
2,,,IlluminationPowerReportingStatistic,,,,,This field reports the statistic used by the Manufacturer to report the nominal Illumination Power output emitted by this Light Source at Peak Wavelength.,enum,"Average, Maximum, Median, Other",LightSourceIlluminationPowerReportingStatistic,,,,,
2,,,IlluminationPowerReportingPosition,,,,,This field records the Position where the reported Illumination Intensity value was obtained as reported by the Manufacturer.,enum,"Back of the Objective, Back of the Microscope Stand, Source, Specimen, Other",LightSourceIlluminationPowerReportingPosition,,,,,
,,,removed OME field(s),,,,,,,,,,,Power (moved to WavelengthRange),,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one or more)",Arc,,,,"An Arc lamp is a diskharge lamp that produces light by an electric arc (also called a voltaic arc), which is typically generated between metal electrodes and travels through an inert gas in a glass bulb. The inert gas can be Mercury (He), Xenon (Xe), or a mixture of the two. The choice of the gas is important because its nature determines the spectral behavior of the lamp. Refer to Type for more informations about this aspect.",,,,,,same,-,-
1,,,,,Type,,,"This field records the inert gas vapor contained in the Arc lamp bulb. The nature of the gas determines the spectral behavior of the lamp. At low pressure, Hg lamps emit a characteristic line spectrum, which becomes more uniform as the lamp heats up. On the other hand, Xe lamps emit light of high luminance, high color temperature, and an almost continuous spectrum distributed from the ultraviolet to the infrared.",enum,"Hg, Xe, HgXe, Other",ArcType,R,,same,,enum
